From Site,To Site,Cost
GLP to PAQUIN,GLP,20
PAQUIN,GLP to PAQUIN,30
"(Generated Site) Turner, Stephen",PAQUIN,10
PAQUIN,"(Generated Site) Turner, Stephen",20
Medusa East,PAQUIN,10
ASHMANOR,Medusa East,20
PAQUIN,ASHMANOR,30
ASHMANOR MT Router,ASHMANOR,30
Paquin Sector NW2 AC,PAQUIN,10
(Generated Site) Lakota Downtown,Paquin Sector NW2 AC,20
PAQUIN,(Generated Site) Lakota Downtown,30
ATKINS,Paquin Sector NW2 AC,20
PAQUIN,ATKINS,30
ATKINS s1 u58 Omni,ATKINS,30
SENIORCENTER,ATKINS s1 u58 Omni,40
ATKINS,SENIORCENTER,50
GUITAR,Paquin Sector NW2 AC,20
PAQUIN,GUITAR,30
PaquinCore3,PAQUIN,10
Paquin Sector NW2 AC,PAQUIN,10
Medusa West,PAQUIN,10
WOOLWATER,Medusa West,20
STEPHENSLAKE,Medusa West,20
PAQUIN,STEPHENSLAKE,30
(Generated Site) Lakota Downtown,Medusa West,20
HOLIDAYINN,Medusa West,20
PAQUIN,HOLIDAYINN,30
HOLIDAYINN s1 u58 90S,HOLIDAYINN,30
(Generated Site) GingerC LLC,Medusa West,20
PAQUIN,(Generated Site) GingerC LLC,30
"(Generated Site) Turner, Stephen",Medusa West,20
Paquin Sector SE AC,PAQUIN,10
1411 BASS,Paquin Sector SE AC,20
PAQUIN,1411 BASS,30
Bass Avenue Mikrotik,1411 BASS,30
Medusa North,PAQUIN,10
FLOATINGAXE,Medusa North,20
Kurt Bock 450b,FLOATINGAXE,30
PAQUIN,Kurt Bock 450b,40
DOGMASTER,Medusa North,20
DOGMASTER BH,DOGMASTER,30
PAQUIN,DOGMASTER BH,40
"(Generated Site) 2pifi - JC Penney, TForce",Medusa North,20
PAQUIN,"(Generated Site) 2pifi - JC Penney, TForce",30
GUTWEIN,Medusa North,20
PAQUIN,GUTWEIN,30
GUTWEIN s1 u24 Omni,GUTWEIN,30
(Generated Site) The Social Room,Medusa North,20
PAQUIN,(Generated Site) The Social Room,30
Paquin to Midway AC,PAQUIN,10
MIDWAY,Paquin to Midway AC,20
PAQUIN,MIDWAY,30
MIDWAY s1 u58 Omni,MIDWAY,30
MIDWAY ANTIQUE RELAY,Paquin to Midway AC,20
PAQUIN,MIDWAY ANTIQUE RELAY,30
ANTIQUE s1 u58 90E,MIDWAY ANTIQUE RELAY,30
Medusa S,PAQUIN,10
GLP,Medusa S,20
